,Year,KAN_M
14,2008.670878870674,-0.3527732567235343
15,2008.6709927140253,-0.3552732567235343
16,2008.671106557377,-0.3927732567235341
17,2008.6712204007283,-0.3612732567235343
18,2008.67133424408,-0.3607732567235341
19,2008.671448087432,-0.3607732567235341
20,2008.6715619307836,-0.3607732567235341
21,2008.6716757741349,-0.3602732567235341
22,2008.6717896174864,-0.3607732567235341
23,2008.671903460838,-0.3602732567235341
24,2008.6720173041892,-0.3607732567235341
25,2008.672131147541,-0.3617732567235342
26,2008.6722449908923,-0.3607732567235341
27,2008.672358834244,-0.3607732567235341
28,2008.672472677596,-0.3597732567235342
29,2008.672586520947,-0.3602732567235341
30,2008.6727003642984,-0.3622732567235344
31,2008.6728142076504,-0.3602732567235341
32,2008.672928051002,-0.3607732567235341
33,2008.6730418943532,-0.3607732567235341
34,2008.673155737705,-0.3612732567235341
35,2008.6732695810565,-0.3617732567235342
36,2008.673383424408,-0.3632732567235341
37,2008.67349726776,-0.3627732567235341
38,2008.673611111111,-0.3632732567235343
39,2008.6737249544624,-0.3642732567235341
40,2008.673838797814,-0.3612732567235341
41,2008.6739526411657,-0.3617732567235342
42,2008.6740664845167,-0.3612732567235341
43,2008.674180327869,-0.3612732567235341
44,2008.6742941712205,-0.3622732567235341
45,2008.674408014572,-0.3922732567235342
46,2008.6745218579235,-0.3612732567235341
47,2008.674635701275,-0.3602732567235341
48,2008.6747495446264,-0.3617732567235342
49,2008.674863387978,-0.3607732567235341
50,2008.6749772313296,-0.3607732567235341
51,2008.6750910746807,-0.3612732567235341
52,2008.6752049180327,-0.3607732567235341
53,2008.675318761384,-0.3607732567235341
54,2008.675432604736,-0.3602732567235341
55,2008.6755464480875,-0.3607732567235341
56,2008.675660291439,-0.3602732567235341
57,2008.6757741347903,-0.3607732567235341
58,2008.675887978142,-0.3612732567235341
59,2008.6760018214936,-0.3632732567235341
60,2008.6761156648447,-0.3627732567235342
61,2008.676229508197,-0.3637732567235342
62,2008.676343351548,-0.3642732567235343
63,2008.6764571949,-0.3597732567235343
64,2008.6765710382515,-0.3572732567235343
65,2008.676684881603,-0.3587732567235343
66,2008.6767987249543,-0.3572732567235341
67,2008.676912568306,-0.3567732567235342
68,2008.6770264116576,-0.3567732567235342
69,2008.677140255009,-0.3567732567235342
70,2008.677254098361,-0.3567732567235342
71,2008.677367941712,-0.3557732567235341
72,2008.677481785064,-0.3877732567235344
73,2008.6775956284152,-0.3567732567235342
74,2008.6777094717668,-0.3567732567235342
75,2008.6778233151183,-0.3557732567235341
76,2008.67793715847,-0.3567732567235342
77,2008.6780510018216,-0.3557732567235341
78,2008.678164845173,-0.3887732567235342
79,2008.6782786885249,-0.3632732567235341
80,2008.678392531876,-0.3607732567235344
81,2008.678506375228,-0.3597732567235343
82,2008.6786202185792,-0.3572732567235343
83,2008.6787340619308,-0.3557732567235341
84,2008.6788479052825,-0.3572732567235341
85,2008.6789617486336,-0.3577732567235342
86,2008.679075591985,-0.3597732567235342
87,2008.6791894353369,-0.3612732567235343
88,2008.6793032786888,-0.3602732567235343
89,2008.67941712204,-0.3592732567235341
90,2008.679530965392,-0.3592732567235343
91,2008.6796448087432,-0.3587732567235341
92,2008.6797586520947,-0.3597732567235342
93,2008.6798724954465,-0.3587732567235341
94,2008.6799863387976,-0.359773256723534
95,2008.680100182149,-0.3602732567235341
96,2008.6802140255008,-0.3627732567235342
97,2008.6803278688524,-0.3637732567235343
98,2008.680441712204,-0.3637732567235342
99,2008.680555555556,-0.3582732567235341
100,2008.6806693989072,-0.3947732567235343
101,2008.6807832422587,-0.4012732567235344
102,2008.6808970856105,-0.3947732567235341
103,2008.6810109289615,-0.3922732567235343
104,2008.6811247723133,-0.3927732567235345
105,2008.6812386156648,-0.3962732567235342
106,2008.6813524590164,-0.3942732567235342
107,2008.681466302368,-0.4142732567235342
108,2008.6815801457196,-0.4047732567235344
