,juliandate,lat,lon,elev,error,year
80,2456958.5,72.612229,321.453038,3246.5516,0.0196,2014.821918
81,2456979.5,72.612229,321.453038,3246.4705,0.0174,2014.879452
82,2457007.5,72.612229,321.453038,3246.5213,0.0204,2014.956164
83,2457035.5,72.612229,321.453038,3246.5638,0.0188,2015.032877
84,2457098.5,72.612229,321.453038,3246.5726,0.0244,2015.205479
85,2457141.5,72.612229,321.453038,3246.5595,0.0248,2015.323174
86,2457168.5,72.612229,321.453038,3246.5565,0.0225,2015.397146
87,2457196.5,72.612229,321.453038,3246.4762,0.0211,2015.473858
88,2457234.5,72.612229,321.453038,3246.559,0.0366,2015.577968
89,2457260.5,72.612229,321.453038,3246.419,0.0213,2015.649201
90,2457318.5,72.612229,321.453038,3246.532,0.0195,2015.808105
91,2457339.5,72.612229,321.453038,3246.5939,0.0233,2015.865753
92,2457378.5,72.612229,321.453038,3246.5685,0.0222,2015.972603
93,2457404.5,72.612229,321.453038,3246.5782,0.0172,2016.043716
94,2457448.5,72.612229,321.453038,3246.561,0.0196,2016.163934
95,2457477.5,72.612229,321.453038,3246.5637,0.0184,2016.243056
96,2457527.5,72.612229,321.453038,3246.5986,0.0239,2016.379668
97,2457555.5,72.612229,321.453038,3246.561,0.0225,2016.45617
98,2457584.5,72.612229,321.453038,3246.4983,0.0197,2016.535405
99,2457624.5,72.612229,321.453038,3246.5035,0.0215,2016.644695
100,2457646.5,72.612229,321.453038,3246.5403,0.0199,2016.704804
101,2457677.5,72.612229,321.453038,3246.5703,0.02,2016.789504
102,2457706.5,72.612229,321.453038,3246.6016,0.0222,2016.868852
103,2457732.5,72.612229,321.453038,3246.6128,0.0192,2016.939891
104,2457778.5,72.612229,321.453038,3246.6185,0.0213,2017.065753
105,2457819.5,72.612229,321.453038,3246.5122,0.0317,2017.178082
106,2457840.5,72.612229,321.453038,3246.6373,0.0275,2017.235502
107,2457871.5,72.612229,321.453038,3246.6038,0.0221,2017.320434
108,2457879.5,72.612229,321.453038,3246.5297,0.0338,2017.342352
109,2457930.5,72.612229,321.453038,3246.6883,0.0213,2017.482078
110,2457968.5,72.612229,321.453038,3246.5551,0.0204,2017.586187
111,2458008.5,72.612229,321.453038,3246.6227,0.019,2017.695776
112,2458030.5,72.612229,321.453038,3246.6965,0.0226,2017.75605
113,2458097.5,72.612229,321.453038,3246.709,0.0234,2017.939726
114,2458129.5,72.612229,321.453038,3246.6967,0.0229,2018.027397
115,2458177.5,72.612229,321.453038,3246.6575,0.0211,2018.158904
116,2458207.5,72.612229,321.453038,3246.6366,0.0356,2018.240982
117,2458234.5,72.612229,321.453038,3246.6672,0.0196,2018.314954
118,2458263.5,72.612229,321.453038,3246.6284,0.0195,2018.394406
